size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
40000,Seurat,4594.79,Filter6,2897,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4633.08,Filter1,9893,8.44097715269688,3.66586979928768,10.5966347330961,4.60205999132796
40000,Seurat,4634.07,Filter2,9893,8.44119081061841,3.66596258974401,10.5966347330961,4.60205999132796
40000,Seurat,4602.69,Filter3,9893,8.43439619416716,3.66301172531259,10.5966347330961,4.60205999132796
40000,Seurat,4603.45,Filter4,9893,8.43456130136773,3.66308343045872,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,9893,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,9893,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4877.96,Filter1,537,8.49248237866024,3.68823823471275,10.5966347330961,4.60205999132796
40000,Seurat,4878.84,Filter2,537,8.49266276567287,3.68831657579694,10.5966347330961,4.60205999132796
40000,Seurat,4609.49,Filter3,537,8.4358725008036,3.66365287713839,10.5966347330961,4.60205999132796
40000,Seurat,4610.13,Filter4,537,8.43601133515925,3.66371317213295,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,537,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,537,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4617.55,Filter1,6216,8.4376195403851,3.6644116067883,10.5966347330961,4.60205999132796
40000,Seurat,4618.54,Filter2,6216,8.43783391681577,3.66450470928919,10.5966347330961,4.60205999132796
40000,Seurat,4601.89,Filter3,6216,8.43422236765862,3.66293623341912,10.5966347330961,4.60205999132796
40000,Seurat,4602.88,Filter4,6216,8.43443747352304,3.66302965270906,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,6216,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,6216,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4854.07,Filter1,6921,8.48757280727857,3.68610603495317,10.5966347330961,4.60205999132796
40000,Seurat,4854.71,Filter2,6921,8.48770464670658,3.68616329208926,10.5966347330961,4.60205999132796
40000,Seurat,4609.37,Filter3,6921,8.43584646721594,3.66364157089492,10.5966347330961,4.60205999132796
40000,Seurat,4610.13,Filter4,6921,8.43601133515925,3.66371317213295,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,6921,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,6921,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,5980.51,Filter1,6036,8.69626112758912,3.7767382209017,10.5966347330961,4.60205999132796
40000,Seurat,5980.59,Filter2,6036,8.69627450428524,3.77674403032702,10.5966347330961,4.60205999132796
40000,Seurat,4634.6,Filter3,6036,8.44130517438378,3.66601225729624,10.5966347330961,4.60205999132796
40000,Seurat,4633.64,Filter4,6036,8.44109801531077,3.66592228925396,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,6036,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,6036,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
45000,Seurat,5174.75,Filter1,2732,8.5515463077879,3.71388937321241,10.7144177687525,4.65321251377534
45000,Seurat,5175.74,Filter2,2732,8.55173760307982,3.71397245170211,10.7144177687525,4.65321251377534
45000,Seurat,5155.53,Filter3,2732,8.54782520396929,3.7122733183574,10.7144177687525,4.65321251377534
45000,Seurat,5156.64,Filter4,2732,8.54804048358634,3.71236681310715,10.7144177687525,4.65321251377534
45000,Seurat,5156.29,Filter5,2732,8.54797260762866,3.71233733495328,10.7144177687525,4.65321251377534
45000,Seurat,5168.66,Filter6,2732,8.55036874628667,3.71337796475033,10.7144177687525,4.65321251377534
45000,Seurat,6473.9,Filter1,9845,8.7755339879659,3.81116598672803,10.7144177687525,4.65321251377534
45000,Seurat,6358.85,Filter2,9845,8.75760282237463,3.80337858045765,10.7144177687525,4.65321251377534
