size,type,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
20000,AnnData Backed,0.7261712551116943,Filter4,-0.31996940339107743,-0.13896094627062056,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.005714893341064453,Filter5,-5.1646796448903665,-2.2429918705739325,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.003919363021850586,Filter5,-5.541826132809287,-2.406784509146311,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.1500091552734375,Filter5,-1.8970589515922007,-0.8238822345216609,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.7085235118865967,Filter5,-0.34457203495870026,-0.1496457334007379,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.008951902389526367,Filter6,-4.715889211793536,-2.0480846619490083,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.002178668975830078,Filter6,-6.12904115019558,-2.6618087508879,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.15061450004577637,Filter6,-1.8930316864066785,-0.8221332154744275,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.19634461402893066,Filter6,-1.627883928795605,-0.7069810074549174,9.903487552536127,4.301029995663981
25000,AnnSql In-Memory,0.005003929138183594,Filter1,-5.297531847512195,-2.300688849081285,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0033864974975585938,Filter1,-5.687959078255818,-2.4702492409780086,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.016272783279418945,Filter1,-4.118261304193673,-1.7885381594470016,10.126631103850338,4.3979400086720375
25000,AnnData Backed,1.3891499042510986,Filter1,0.3286919803759974,0.1427491133231476,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.005009651184082031,Filter2,-5.296388990244945,-2.3001925124765155,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.004276752471923828,Filter2,-5.4545613256408485,-2.368885884928707,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.13165044784545898,Filter2,-2.0276049912570824,-0.8805776591824419,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.7375831604003906,Filter2,-0.3043764372601414,-0.13218900712345075,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.004246950149536133,Filter3,-5.461554165526312,-2.3719228367037966,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.003717660903930664,Filter3,-5.5946605977339114,-2.4297302257173863,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.13235187530517578,Filter3,-2.022291181122098,-0.8782699007629367,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.6194741725921631,Filter3,-0.47888426951299423,-0.20797679571976305,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0045506954193115234,Filter4,-5.392475218288904,-2.3419222311029047,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.004500389099121094,Filter4,-5.4035914194725185,-2.346749935936675,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.14045071601867676,Filter4,-1.9628986274122928,-0.8524760424206259,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.6824846267700195,Filter4,-0.3820152770558034,-0.16590712682807734,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.004626750946044922,Filter5,-5.375900396733552,-2.334723877562884,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.004264116287231445,Filter5,-5.457520320625679,-2.3701709601225978,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1335606575012207,Filter5,-2.0131995410285586,-0.8743214516388623,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.6543848514556885,Filter5,-0.4240596427150686,-0.18416676282901878,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.008307456970214844,Filter6,-4.7906017373800145,-2.0805318995402713,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.002076387405395508,Filter6,-6.177125719626058,-2.68269161405625,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.14565682411193848,Filter6,-1.92650194386314,-0.8366691635956499,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.17421245574951172,Filter6,-1.7474797145394876,-0.7589207972623692,10.126631103850338,4.3979400086720375
30000,AnnSql In-Memory,0.004097938537597656,Filter1,-5.497271227423911,-2.3874345595957207,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.005407810211181641,Filter1,-5.219911034943521,-2.2669785585018634,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.016299009323120117,Filter1,-4.116650950739153,-1.7878387918277896,10.308952660644293,4.477121254719663
30000,AnnData Backed,2.7210025787353516,Filter1,1.0010004075167027,0.43472895336741035,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.005411386489868164,Filter2,-5.219249936173327,-2.2666914469539754,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.003918886184692383,Filter2,-5.541947802112271,-2.4068373494532143,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.13684916496276855,Filter2,-1.9888759453571887,-0.8637578482587405,10.308952660644293,4.477121254719663
30000,AnnData Backed,1.3240811824798584,Filter2,0.28071877170746357,0.12191461351921011,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.006135225296020508,Filter3,-5.09370847842581,-2.2121694846041384,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.005915403366088867,Filter3,-5.130195590117135,-2.2280156358722683,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.15572690963745117,Filter3,-1.859651385034142,-0.8076363347840674,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.8467280864715576,Filter3,-0.16637566719214336,-0.07225603418451976,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.00600886344909668,Filter4,-5.11451965828584,-2.2212076651792456,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0055027008056640625,Filter4,-5.202516251696761,-2.2594241001238924,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.1421360969543457,Filter4,-1.950970251124984,-0.847295614420982,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.8839306831359863,Filter4,-0.12337663216103031,-0.053581790543342736,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.007701396942138672,Filter5,-4.866353545520338,-2.113430491809808,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.004947662353515625,Filter5,-5.308840065762571,-2.3055999458675815,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.144669771194458,Filter5,-1.933301573910576,-0.839622205404235,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.8301041126251221,Filter5,-0.18620414916030584,-0.08086743448781085,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.012436389923095703,Filter6,-4.387128432895075,-1.905305669807192,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0026650428771972656,Filter6,-5.927535132489154,-2.5742957993277003,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.16068005561828613,Filter6,-1.8283401233479357,-0.7940380266123193,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.2148425579071045,Filter6,-1.5378498079130536,-0.6678796855726149,10.308952660644293,4.477121254719663
35000,AnnSql In-Memory,0.005263090133666992,Filter1,-5.247036946846636,-2.27875919235798,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.014958381652832031,Filter1,-4.202483490574128,-1.8251153902458601,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.015667200088500977,Filter1,-4.156185918317625,-1.8050086100893439,10.46310334047155,4.544068044350276
35000,AnnData Backed,3.055609703063965,Filter1,1.1169791481820432,0.485097880456456,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.004304409027099609,Filter2,-5.448115426460697,-2.3660864664838623,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.004298210144042969,Filter2,-5.4495565885082575,-2.366712355208646,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.12908697128295898,Filter2,-2.0472689057965545,-0.8891175887595519,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.4731860160827637,Filter2,0.3874274133381583,0.16825758775081245,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.004248142242431641,Filter3,-5.461273511038208,-2.3718009500082915,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0068967342376708984,Filter3,-4.976707278308472,-2.16135650901712,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.1514575481414795,Filter3,-1.8874499035862151,-0.8197090779963179,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.0174267292022705,Filter3,0.017276625129705247,0.007503142959742041,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.004369258880615234,Filter4,-5.433161876793638,-2.3595922223785926,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.00608515739440918,Filter4,-5.101902686910168,-2.2157281841324594,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.1398003101348877,Filter4,-1.9675402307665208,-0.8544918651445508,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.0611882209777832,Filter4,0.059389243500455074,0.0257924207366562,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.005834102630615234,Filter5,-5.14403481588208,-2.234025935255797,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.005681037902832031,Filter5,-5.170621333570219,-2.245572313180779,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.1450040340423584,Filter5,-1.930993715966777,-0.8386199154342264,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.0040905475616455,Filter5,0.004082204017339164,0.0017728786787336854,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.010523557662963867,Filter6,-4.55413894795274,-1.9778374149165556,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0025856494903564453,Filter6,-5.957778549057822,-2.5874303482573744,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.14429140090942383,Filter6,-1.9359204067352558,-0.8407595500490205,10.46310334047155,4.544068044350276
35000,AnnData Backed,0.2528524398803711,Filter6,-1.3749492019857106,-0.5971328513196738,10.46310334047155,4.544068044350276
40000,AnnSql In-Memory,0.005304813385009766,Filter1,-5.23914068472441,-2.275329889290636,10.596634733096073,4.6020599913279625
40000,AnnData Not-Backed,0.0049359798431396484,Filter1,-5.311204076030085,-2.306626622481925,10.596634733096073,4.6020599913279625
40000,AnnSql On-Disk,0.01505422592163086,Filter1,-4.196096535067045,-1.8223415707129724,10.596634733096073,4.6020599913279625
40000,AnnData Backed,3.7272379398345947,Filter1,1.3156674606472738,0.5713871181787747,10.596634733096073,4.6020599913279625
