size,method,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
20000,AnnData Backed,0.16424083709716797,Filter6,-1.8064214094921438,-0.7845188501343325,9.903487552536127,4.301029995663981
25000,AnnSql In-Memory,0.005890369415283203,Filter1,-5.134436564222038,-2.229857467523922,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.003990650177001953,Filter1,-5.523801109725977,-2.398956341085051,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.023116588592529297,Filter1,-3.7672047982911026,-1.6360762560972786,10.126631103850338,4.3979400086720375
25000,AnnData Backed,1.6782655715942383,Filter1,0.5177608622648474,0.22486068542709284,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0055828094482421875,Filter2,-5.188063143947075,-2.253147195181851,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.003857851028442383,Filter2,-5.557644978918988,-2.413654546721831,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.15523481369018555,Filter2,-1.8628163813737877,-0.8090108752296195,10.126631103850338,4.3979400086720375
25000,AnnData Backed,1.0519578456878662,Filter2,0.05065304287375817,0.021998337011682006,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0055370330810546875,Filter3,-5.196296466614331,-2.256722881783969,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0046770572662353516,Filter3,-5.365086156089411,-2.33002731252516,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.15621399879455566,Filter3,-1.8565284246284055,-0.8062800503126537,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.9721190929412842,Filter3,-0.028276958424957248,-0.0122805270089666,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0053746700286865234,Filter4,-5.226058096864664,-2.2696481935741337,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0053713321685791016,Filter4,-5.226679325141654,-2.2699179895868324,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1521434783935547,Filter4,-1.8829312665643436,-0.8177466588719954,10.126631103850338,4.3979400086720375
25000,AnnData Backed,1.1436378955841064,Filter4,0.13421431801397832,0.05828853770587899,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.005380392074584961,Filter5,-5.2249940311468865,-2.2691860757045204,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.004880189895629883,Filter5,-5.322571146835264,-2.3115632786080176,10.126631103850338,4.3979400086720375
