size,method,runtime,filter_type,runtime_log,runtime_log10,size_log,size_log10
35000,AnnSql On-Disk,0.1342701911926269,Filter5,-2.0079011569570215,-0.8720203926735896,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.0243244171142578,Filter5,0.02403329003063072,0.010437525242283354,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.0182085037231445,Filter6,-4.005866556485444,-1.7397257407224092,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0036349296569824,Filter6,-5.617165519770584,-2.4395039891735757,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.175502061843872,Filter6,-1.7401044877470975,-0.7557177769636492,10.46310334047155,4.544068044350276
35000,AnnData Backed,0.374889612197876,Filter6,-0.9811236638186658,-0.4260965932611477,10.46310334047155,4.544068044350276
40000,AnnSql In-Memory,0.006901741027832,Filter2,-4.975981576332783,-2.1610413406535725,10.596634733096073,4.6020599913279625
40000,AnnData Not-Backed,0.0083296298980712,Filter2,-4.787936253793885,-2.0793742947272116,10.596634733096073,4.6020599913279625
40000,AnnSql On-Disk,0.0274627208709716,Filter2,-3.594925798664821,-1.561256437211772,10.596634733096073,4.6020599913279625
40000,AnnData Backed,2.550200700759888,Filter2,0.9361720622535141,0.40657436074868875,10.596634733096073,4.6020599913279625
40000,AnnSql In-Memory,0.0080063343048095,Filter3,-4.827522262499945,-2.096566279868828,10.596634733096073,4.6020599913279625
40000,AnnData Not-Backed,0.0094444751739501,Filter3,-4.66232534612097,-2.024822170658006,10.596634733096073,4.6020599913279625
40000,AnnSql On-Disk,0.1377053260803222,Filter3,-1.9826391951260938,-0.8610492620483671,10.596634733096073,4.6020599913279625
40000,AnnData Backed,1.3770520687103271,Filter3,0.3199450321836354,0.13895036198971117,10.596634733096073,4.6020599913279625
40000,AnnSql In-Memory,0.0105109214782714,Filter4,-4.555340421602522,-1.9783592082928079,10.596634733096073,4.6020599913279625
